,Irradiance,Real_Power_PV,Reactive_Power_Total,Real_Power_Total,Reactive_Power_PV,Apparent_PF,Load_PF,IrradianceProxy
2015-10-20 20:16:00,0.0,-8408.384342260866,174894.74185189957,3265209.0814842437,20080.035933828007,0.9989906883980662,0.9986954848309391,-0.11280000000025474
2015-10-20 20:17:00,0.0,-8365.90276589591,163860.7232799109,3266986.031831611,20101.307248588688,0.999121225774493,0.9988442666253953,-0.10940000000025474
2015-10-20 20:18:00,0.0,-8566.477054480762,157587.03475517518,3259487.501315251,20011.602676139617,0.9989150146184895,0.9986102198347919,-0.10940000000025474
2015-10-20 20:19:00,0.0,-8368.742910916866,156548.66639158176,3295745.622770834,20103.673111007098,0.9984085437744716,0.998046349857133,-0.11280000000025474
2015-10-20 20:20:00,0.0,-8380.249486547404,157690.42861869477,3207605.317450148,20097.544678960505,0.9994105817078444,0.9991755661298803,-0.11280000000025474
2015-10-20 20:21:00,0.0,-8371.792345919552,152902.12127263684,3249908.8295310996,20131.77449667691,0.9992086017526971,0.9989428243451975,-0.11280000000025474
2015-10-20 20:22:00,0.0,-8397.251060632027,150639.6746499629,3251770.2104989514,20103.638024575826,0.999066533551419,0.9987802431882529,-0.11620000000025474
2015-10-20 20:23:00,0.0,-8388.998597634687,150580.0092336797,3284898.4676859663,20100.11841539118,0.9988080370723448,0.998490716165458,-0.11960000000025475
2015-10-20 20:24:00,0.0,-8408.156458689093,148363.8177995392,3251626.0696820514,20111.312769057906,0.9990049341896039,0.9987098810521289,-0.11960000000025475
2015-10-20 20:25:00,0.0,-8615.745657429803,142292.21062216398,3223567.7981498195,20053.370232497924,0.9993081884262446,0.9990572128784074,-0.12300000000025475
2015-10-20 20:26:00,0.0,-8491.408608473615,144411.30283854002,3264853.3369011674,20115.355444838082,0.9988440059611307,0.9985288925336658,-0.12300000000025475
2015-10-20 20:27:00,0.0,-8443.652070605549,148270.17357818814,3245566.935037446,20100.302335168795,0.9991181495322821,0.9988387881263757,-0.11960000000025475
2015-10-20 20:28:00,0.0,-8422.194208205525,153100.7573381438,3307704.7860830827,20069.10309484005,0.9984767040970246,0.9981238749218693,-0.11620000000025474
2015-10-20 20:29:00,0.0,-8458.864291298643,160879.70407876128,3312421.6536429496,20111.544065948958,0.9983693288731708,0.9980047438967984,-0.11280000000025474
2015-10-20 20:30:00,0.0,-8430.335549748688,172098.5977613559,3356918.7799735405,20089.486571824076,0.9977081089443669,0.9972864014070899,-0.10940000000025474
2015-10-20 20:31:00,0.0,-8442.049295129222,190782.25131389024,3303967.8168996517,20066.558527377165,0.9984901347894157,0.9981383971486185,-0.10600000000025474
2015-10-20 20:32:00,0.0,-8468.31821400834,194681.6132866776,3341702.7827933067,20070.137595117914,0.9985024465270905,0.9981561630432243,-0.10600000000025474
2015-10-20 20:33:00,0.0,-8632.91164805931,194802.0401716192,3322328.5364087657,20053.515440616422,0.9986010779211172,0.9982639176032049,-0.10600000000025474
